
Feature reduction based on permutation importance ...
[357]	validation_0-rmse:0.09279	validation_1-rmse:0.09279
[358]	validation_0-rmse:0.09274	validation_1-rmse:0.09274
[359]	validation_0-rmse:0.09257	validation_1-rmse:0.09257
[360]	validation_0-rmse:0.09254	validation_1-rmse:0.09254
[361]	validation_0-rmse:0.09239	validation_1-rmse:0.09239
[362]	validation_0-rmse:0.09229	validation_1-rmse:0.09229
[363]	validation_0-rmse:0.09222	validation_1-rmse:0.09222
[364]	validation_0-rmse:0.09213	validation_1-rmse:0.09213
[365]	validation_0-rmse:0.09209	validation_1-rmse:0.09209
[366]	validation_0-rmse:0.09202	validation_1-rmse:0.09202
[367]	validation_0-rmse:0.09188	validation_1-rmse:0.09188
[368]	validation_0-rmse:0.09185	validation_1-rmse:0.09185
[369]	validation_0-rmse:0.09176	validation_1-rmse:0.09176
[370]	validation_0-rmse:0.09171	validation_1-rmse:0.09171
[371]	validation_0-rmse:0.09167	validation_1-rmse:0.09167
[372]	validation_0-rmse:0.09161	validation_1-rmse:0.09161
[373]	validation_0-rmse:0.09156	validation_1-rmse:0.09156
[374]	validation_0-rmse:0.09149	validation_1-rmse:0.09149
[375]	validation_0-rmse:0.09146	validation_1-rmse:0.09146
[376]	validation_0-rmse:0.09139	validation_1-rmse:0.09139
[377]	validation_0-rmse:0.09137	validation_1-rmse:0.09137
[378]	validation_0-rmse:0.09133	validation_1-rmse:0.09133
[379]	validation_0-rmse:0.09124	validation_1-rmse:0.09124
[380]	validation_0-rmse:0.09118	validation_1-rmse:0.09118
[381]	validation_0-rmse:0.09115	validation_1-rmse:0.09115
[382]	validation_0-rmse:0.09111	validation_1-rmse:0.09111
[383]	validation_0-rmse:0.09105	validation_1-rmse:0.09105
[384]	validation_0-rmse:0.09090	validation_1-rmse:0.09090
[385]	validation_0-rmse:0.09085	validation_1-rmse:0.09085
[386]	validation_0-rmse:0.09079	validation_1-rmse:0.09079
[387]	validation_0-rmse:0.09070	validation_1-rmse:0.09070
[388]	validation_0-rmse:0.09066	validation_1-rmse:0.09066
[389]	validation_0-rmse:0.09060	validation_1-rmse:0.09060
[390]	validation_0-rmse:0.09051	validation_1-rmse:0.09051
[391]	validation_0-rmse:0.09046	validation_1-rmse:0.09046
[392]	validation_0-rmse:0.09043	validation_1-rmse:0.09043
[393]	validation_0-rmse:0.09040	validation_1-rmse:0.09040
[394]	validation_0-rmse:0.09038	validation_1-rmse:0.09038
[395]	validation_0-rmse:0.09031	validation_1-rmse:0.09031
[396]	validation_0-rmse:0.09024	validation_1-rmse:0.09024
[397]	validation_0-rmse:0.09021	validation_1-rmse:0.09021
[398]	validation_0-rmse:0.09019	validation_1-rmse:0.09019
[399]	validation_0-rmse:0.09015	validation_1-rmse:0.09015
[400]	validation_0-rmse:0.09009	validation_1-rmse:0.09009
[401]	validation_0-rmse:0.09007	validation_1-rmse:0.09007
[402]	validation_0-rmse:0.09000	validation_1-rmse:0.09000
[403]	validation_0-rmse:0.08994	validation_1-rmse:0.08994
[404]	validation_0-rmse:0.08990	validation_1-rmse:0.08990
[405]	validation_0-rmse:0.08987	validation_1-rmse:0.08987
[406]	validation_0-rmse:0.08983	validation_1-rmse:0.08983
[407]	validation_0-rmse:0.08974	validation_1-rmse:0.08974
[408]	validation_0-rmse:0.08971	validation_1-rmse:0.08971
[409]	validation_0-rmse:0.08968	validation_1-rmse:0.08968
[410]	validation_0-rmse:0.08960	validation_1-rmse:0.08960
[411]	validation_0-rmse:0.08957	validation_1-rmse:0.08957
[412]	validation_0-rmse:0.08946	validation_1-rmse:0.08946
[413]	validation_0-rmse:0.08935	validation_1-rmse:0.08935
[414]	validation_0-rmse:0.08931	validation_1-rmse:0.08931
[415]	validation_0-rmse:0.08927	validation_1-rmse:0.08927
[416]	validation_0-rmse:0.08923	validation_1-rmse:0.08923
[417]	validation_0-rmse:0.08918	validation_1-rmse:0.08918
[418]	validation_0-rmse:0.08913	validation_1-rmse:0.08913
[419]	validation_0-rmse:0.08909	validation_1-rmse:0.08909
[420]	validation_0-rmse:0.08904	validation_1-rmse:0.08904
[421]	validation_0-rmse:0.08902	validation_1-rmse:0.08902
[422]	validation_0-rmse:0.08900	validation_1-rmse:0.08900
[423]	validation_0-rmse:0.08892	validation_1-rmse:0.08892
[424]	validation_0-rmse:0.08888	validation_1-rmse:0.08888
[425]	validation_0-rmse:0.08885	validation_1-rmse:0.08885
[426]	validation_0-rmse:0.08884	validation_1-rmse:0.08884
[427]	validation_0-rmse:0.08879	validation_1-rmse:0.08879
[428]	validation_0-rmse:0.08875	validation_1-rmse:0.08875
[429]	validation_0-rmse:0.08870	validation_1-rmse:0.08870
[430]	validation_0-rmse:0.08867	validation_1-rmse:0.08867
[431]	validation_0-rmse:0.08862	validation_1-rmse:0.08862
[432]	validation_0-rmse:0.08853	validation_1-rmse:0.08853
[433]	validation_0-rmse:0.08847	validation_1-rmse:0.08847
