
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[366]	validation_0-rmse:0.09211	validation_1-rmse:0.10391
[367]	validation_0-rmse:0.09204	validation_1-rmse:0.10385
[368]	validation_0-rmse:0.09199	validation_1-rmse:0.10382
[369]	validation_0-rmse:0.09191	validation_1-rmse:0.10376
[370]	validation_0-rmse:0.09184	validation_1-rmse:0.10371
[371]	validation_0-rmse:0.09176	validation_1-rmse:0.10365
[372]	validation_0-rmse:0.09172	validation_1-rmse:0.10361
[373]	validation_0-rmse:0.09166	validation_1-rmse:0.10357
[374]	validation_0-rmse:0.09162	validation_1-rmse:0.10354
[375]	validation_0-rmse:0.09154	validation_1-rmse:0.10349
[376]	validation_0-rmse:0.09151	validation_1-rmse:0.10347
[377]	validation_0-rmse:0.09143	validation_1-rmse:0.10343
[378]	validation_0-rmse:0.09140	validation_1-rmse:0.10342
[379]	validation_0-rmse:0.09134	validation_1-rmse:0.10338
[380]	validation_0-rmse:0.09132	validation_1-rmse:0.10337
[381]	validation_0-rmse:0.09130	validation_1-rmse:0.10336
[382]	validation_0-rmse:0.09121	validation_1-rmse:0.10328
[383]	validation_0-rmse:0.09111	validation_1-rmse:0.10319
[384]	validation_0-rmse:0.09106	validation_1-rmse:0.10316
[385]	validation_0-rmse:0.09100	validation_1-rmse:0.10315
[386]	validation_0-rmse:0.09093	validation_1-rmse:0.10309
[387]	validation_0-rmse:0.09090	validation_1-rmse:0.10309
[388]	validation_0-rmse:0.09081	validation_1-rmse:0.10302
[389]	validation_0-rmse:0.09079	validation_1-rmse:0.10302
[390]	validation_0-rmse:0.09072	validation_1-rmse:0.10298
[391]	validation_0-rmse:0.09070	validation_1-rmse:0.10296
[392]	validation_0-rmse:0.09066	validation_1-rmse:0.10294
[393]	validation_0-rmse:0.09059	validation_1-rmse:0.10294
[394]	validation_0-rmse:0.09045	validation_1-rmse:0.10282
[395]	validation_0-rmse:0.09038	validation_1-rmse:0.10277
[396]	validation_0-rmse:0.09035	validation_1-rmse:0.10275
[397]	validation_0-rmse:0.09025	validation_1-rmse:0.10267
[398]	validation_0-rmse:0.09022	validation_1-rmse:0.10266
[399]	validation_0-rmse:0.09018	validation_1-rmse:0.10264
[400]	validation_0-rmse:0.09010	validation_1-rmse:0.10256
[401]	validation_0-rmse:0.09002	validation_1-rmse:0.10251
[402]	validation_0-rmse:0.08989	validation_1-rmse:0.10243
[403]	validation_0-rmse:0.08986	validation_1-rmse:0.10242
[404]	validation_0-rmse:0.08980	validation_1-rmse:0.10240
[405]	validation_0-rmse:0.08976	validation_1-rmse:0.10237
[406]	validation_0-rmse:0.08961	validation_1-rmse:0.10228
[407]	validation_0-rmse:0.08956	validation_1-rmse:0.10224
[408]	validation_0-rmse:0.08948	validation_1-rmse:0.10216
[409]	validation_0-rmse:0.08942	validation_1-rmse:0.10211
[410]	validation_0-rmse:0.08938	validation_1-rmse:0.10208
[411]	validation_0-rmse:0.08935	validation_1-rmse:0.10206
[412]	validation_0-rmse:0.08929	validation_1-rmse:0.10203
[413]	validation_0-rmse:0.08925	validation_1-rmse:0.10201
[414]	validation_0-rmse:0.08922	validation_1-rmse:0.10200
[415]	validation_0-rmse:0.08917	validation_1-rmse:0.10198
[416]	validation_0-rmse:0.08907	validation_1-rmse:0.10195
[417]	validation_0-rmse:0.08904	validation_1-rmse:0.10194
[418]	validation_0-rmse:0.08899	validation_1-rmse:0.10191
[419]	validation_0-rmse:0.08894	validation_1-rmse:0.10190
[420]	validation_0-rmse:0.08891	validation_1-rmse:0.10188
