
Feature reduction based on permutation importance ...
[366]	validation_0-rmse:1.92035	validation_1-rmse:1.92035
[367]	validation_0-rmse:1.91987	validation_1-rmse:1.91987
[368]	validation_0-rmse:1.91900	validation_1-rmse:1.91900
[369]	validation_0-rmse:1.91860	validation_1-rmse:1.91860
[370]	validation_0-rmse:1.91801	validation_1-rmse:1.91801
[371]	validation_0-rmse:1.91600	validation_1-rmse:1.91600
[372]	validation_0-rmse:1.91435	validation_1-rmse:1.91435
[373]	validation_0-rmse:1.91326	validation_1-rmse:1.91326
[374]	validation_0-rmse:1.91238	validation_1-rmse:1.91238
[375]	validation_0-rmse:1.91032	validation_1-rmse:1.91032
[376]	validation_0-rmse:1.90948	validation_1-rmse:1.90948
[377]	validation_0-rmse:1.90913	validation_1-rmse:1.90913
[378]	validation_0-rmse:1.90821	validation_1-rmse:1.90821
[379]	validation_0-rmse:1.90708	validation_1-rmse:1.90708
[380]	validation_0-rmse:1.90628	validation_1-rmse:1.90628
[381]	validation_0-rmse:1.90481	validation_1-rmse:1.90481
[382]	validation_0-rmse:1.90350	validation_1-rmse:1.90350
[383]	validation_0-rmse:1.90294	validation_1-rmse:1.90294
[384]	validation_0-rmse:1.90146	validation_1-rmse:1.90146
[385]	validation_0-rmse:1.90079	validation_1-rmse:1.90079
[386]	validation_0-rmse:1.90019	validation_1-rmse:1.90019
[387]	validation_0-rmse:1.89874	validation_1-rmse:1.89874
[388]	validation_0-rmse:1.89838	validation_1-rmse:1.89838
[389]	validation_0-rmse:1.89764	validation_1-rmse:1.89764
[390]	validation_0-rmse:1.89596	validation_1-rmse:1.89596
[391]	validation_0-rmse:1.89446	validation_1-rmse:1.89446
[392]	validation_0-rmse:1.89356	validation_1-rmse:1.89356
[393]	validation_0-rmse:1.89291	validation_1-rmse:1.89291
[394]	validation_0-rmse:1.89267	validation_1-rmse:1.89267
[395]	validation_0-rmse:1.89164	validation_1-rmse:1.89164
[396]	validation_0-rmse:1.89077	validation_1-rmse:1.89077
[397]	validation_0-rmse:1.88971	validation_1-rmse:1.88971
[398]	validation_0-rmse:1.88823	validation_1-rmse:1.88823
[399]	validation_0-rmse:1.88768	validation_1-rmse:1.88768
[400]	validation_0-rmse:1.88695	validation_1-rmse:1.88695
[401]	validation_0-rmse:1.88543	validation_1-rmse:1.88543
[402]	validation_0-rmse:1.88439	validation_1-rmse:1.88439
[403]	validation_0-rmse:1.88393	validation_1-rmse:1.88393
[404]	validation_0-rmse:1.88303	validation_1-rmse:1.88303
[405]	validation_0-rmse:1.88135	validation_1-rmse:1.88135
[406]	validation_0-rmse:1.88045	validation_1-rmse:1.88045
[407]	validation_0-rmse:1.87959	validation_1-rmse:1.87959
[408]	validation_0-rmse:1.87882	validation_1-rmse:1.87882
[409]	validation_0-rmse:1.87815	validation_1-rmse:1.87815
[410]	validation_0-rmse:1.87723	validation_1-rmse:1.87723
[411]	validation_0-rmse:1.87592	validation_1-rmse:1.87592
[412]	validation_0-rmse:1.87506	validation_1-rmse:1.87506
[413]	validation_0-rmse:1.87413	validation_1-rmse:1.87413
[414]	validation_0-rmse:1.87336	validation_1-rmse:1.87336
[415]	validation_0-rmse:1.87279	validation_1-rmse:1.87279
[416]	validation_0-rmse:1.87220	validation_1-rmse:1.87220
[417]	validation_0-rmse:1.87133	validation_1-rmse:1.87133
[418]	validation_0-rmse:1.87009	validation_1-rmse:1.87009
[419]	validation_0-rmse:1.86852	validation_1-rmse:1.86852
[420]	validation_0-rmse:1.86827	validation_1-rmse:1.86827
[421]	validation_0-rmse:1.86754	validation_1-rmse:1.86754
[422]	validation_0-rmse:1.86666	validation_1-rmse:1.86666
[423]	validation_0-rmse:1.86637	validation_1-rmse:1.86637
[424]	validation_0-rmse:1.86569	validation_1-rmse:1.86569
[425]	validation_0-rmse:1.86469	validation_1-rmse:1.86469
[426]	validation_0-rmse:1.86362	validation_1-rmse:1.86362
[427]	validation_0-rmse:1.86248	validation_1-rmse:1.86248
[428]	validation_0-rmse:1.86221	validation_1-rmse:1.86221
[429]	validation_0-rmse:1.86078	validation_1-rmse:1.86078
[430]	validation_0-rmse:1.86048	validation_1-rmse:1.86048
[431]	validation_0-rmse:1.86011	validation_1-rmse:1.86011
[432]	validation_0-rmse:1.85905	validation_1-rmse:1.85905
[433]	validation_0-rmse:1.85761	validation_1-rmse:1.85761
